team_abbr,rival_abbr,rivalry_type,intensity,notes
TB,CAR,divisional,0.6,Divisional rivalry (NFC South)
TB,NO,divisional,0.6,Divisional rivalry (NFC South)
ARI,LAR,divisional,0.7,Divisional rivalry (NFC West)
ARI,SEA,divisional,0.7,Divisional rivalry (NFC West)
ARI,SF,divisional,0.7,Divisional rivalry (NFC West)
LAR,ARI,divisional,0.7,Divisional rivalry (NFC West)
LAR,SEA,divisional,0.7,Divisional rivalry (NFC West)
LAR,SF,divisional,0.7,Divisional rivalry (NFC West)
SEA,ARI,divisional,0.7,Divisional rivalry (NFC West)
SEA,LAR,divisional,0.7,Divisional rivalry (NFC West)
SEA,SF,divisional,0.7,Divisional rivalry (NFC West)
SF,ARI,divisional,0.7,Divisional rivalry (NFC West)
SF,LAR,divisional,0.7,Divisional rivalry (NFC West)
SF,SEA,divisional,0.7,Divisional rivalry (NFC West)
DAL,SF,postseason,0.8,Classic 1990s playoff rivalry rekindled in recent seasons
DAL,GB,postseason,0.75,Multiple iconic playoff meetings
DAL,PIT,Super Bowl,0.7,Three Super Bowl clashes define series
CHI,GB,historic,0.9,NFL’s oldest rivalry dating to 1921
MIN,GB,regional,0.8,Border battle born after Vikings joined league
DET,GB,Thanksgiving,0.7,Long-running NFC North foes with holiday spotlight
NYG,PHI,historic,0.8,Over 150 meetings with playoff stakes
NYG,WAS,historic,0.7,NFC East original rivals
PHI,DAL,national,0.85,High-profile NFC East feud
PHI,WAS,historic,0.7,Divisional animus with political undertones
BUF,MIA,historic,0.75,1970s-1990s AFC East dominance battles
BUF,NE,modern,0.7,Brady-era dominance spurred resentment
NE,NYJ,historic,0.8,Spygate and coaching drama add spice
KC,LV,historic,0.85,AFL roots and physical clashes
KC,DEN,historic,0.8,Border rivalry heightened by Elway/Mahomes eras
DEN,LV,historic,0.75,Old AFC West grudge match
SEA,SF,modern,0.85,"Legion of Boom vs Kaepernick, renewed 2020s"
SEA,LAR,modern,0.7,Pete Carroll vs Sean McVay chess matches
BAL,PIT,historic,0.9,Hard-hitting AFC North classic
BAL,CLE,historic,0.7,Franchise relocation fuels animosity
CIN,PIT,playoff,0.75,Recent postseason clashes and physical games
TEN,IND,historic,0.65,AFC South title races from Manning to Luck
NO,ATL,historic,0.85,Gulf Coast vs Georgia rivalry
NO,CAR,modern,0.7,NFC South with overlapping playoff runs
CAR,ATL,modern,0.7,South divisional with proximity
TB,NO,modern,0.7,Brees vs Brady/Tampa clashes
CLE,PIT,historic,0.8,Turnpike rivalry predating Super Bowl era
HOU,DAL,state,0.65,"Texas bragging rights, Battle of the Lone Star"
JAX,MIA,state,0.6,Florida bragging rights including 2023 streak
GB,SEA,postseason,0.75,Recent NFC Championship drama
SF,DAL,postseason,0.8,Classic 1990s playoff rivalry rekindled in recent seasons
GB,DAL,postseason,0.75,Multiple iconic playoff meetings
PIT,DAL,Super Bowl,0.7,Three Super Bowl clashes define series
GB,CHI,historic,0.9,NFL’s oldest rivalry dating to 1921
GB,MIN,regional,0.8,Border battle born after Vikings joined league
GB,DET,Thanksgiving,0.7,Long-running NFC North foes with holiday spotlight
PHI,NYG,historic,0.8,Over 150 meetings with playoff stakes
WAS,NYG,historic,0.7,NFC East original rivals
DAL,PHI,national,0.85,High-profile NFC East feud
WAS,PHI,historic,0.7,Divisional animus with political undertones
MIA,BUF,historic,0.75,1970s-1990s AFC East dominance battles
NE,BUF,modern,0.7,Brady-era dominance spurred resentment
NYJ,NE,historic,0.8,Spygate and coaching drama add spice
LV,KC,historic,0.85,AFL roots and physical clashes
DEN,KC,historic,0.8,Border rivalry heightened by Elway/Mahomes eras
LV,DEN,historic,0.75,Old AFC West grudge match
SF,SEA,modern,0.85,"Legion of Boom vs Kaepernick, renewed 2020s"
LAR,SEA,modern,0.7,Pete Carroll vs Sean McVay chess matches
PIT,BAL,historic,0.9,Hard-hitting AFC North classic
CLE,BAL,historic,0.7,Franchise relocation fuels animosity
PIT,CIN,playoff,0.75,Recent postseason clashes and physical games
IND,TEN,historic,0.65,AFC South title races from Manning to Luck
ATL,NO,historic,0.85,Gulf Coast vs Georgia rivalry
CAR,NO,modern,0.7,NFC South with overlapping playoff runs
ATL,CAR,modern,0.7,South divisional with proximity
NO,TB,modern,0.7,Brees vs Brady/Tampa clashes
PIT,CLE,historic,0.8,Turnpike rivalry predating Super Bowl era
DAL,HOU,state,0.65,"Texas bragging rights, Battle of the Lone Star"
MIA,JAX,state,0.6,Florida bragging rights including 2023 streak
SEA,GB,postseason,0.75,Recent NFC Championship drama
